doc,label
교계에서는 NCCK 안팎의 비판이 거세지면서 공동선언문은 사실상 폐기된 것으로 보고 있다.,교계에서는 <NCCK:ORG> 안팎의 비판이 거세지면서 공동선언문은 사실상 폐기된 것으로 보고 있다.
안성시 사곡당 태평무 전수관에서는 중요무형문화재 92호인 태평무가 다음달 17일부터 매주 토요일 무료 상설공연마당을 통해 일반 시민들에게 첫선을 보인다.,안성시 사곡당 태평무 전수관에서는 중요무형문화재 92호인 태평무가 <다음달 17일부터:DAT> 매주 <토요일:DAT> 무료 상설공연마당을 통해 일반 시민들에게 첫선을 보인다.
‘임금피크제’와 올해 입사자부터 새 임금체계를 적용하는 ‘이중임금제’도 사쪽 수정 요구안에 들어 있다.,‘<임금피크제:CVL>’와 <올해:DAT> 입사자부터 새 임금체계를 적용하는 ‘<이중임금제:CVL>’도 사쪽 수정 요구안에 들어 있다.
"5G, 방송, 규제 적합성, 항공·방위산업, 위성 시스템, 레이더 등 현재 애플리케이션은 물론 새롭게 떠오르는 필드 애플리케이션에 적합하다.","5G, 방송, 규제 적합성, 항공·방위산업, 위성 시스템, 레이더 등 현재 애플리케이션은 물론 새롭게 떠오르는 필드 애플리케이션에 적합하다."
"조선총독부의 유리건판 사진 154장, 문서 14건 속 경주","<조선총독부:ORG>의 유리건판 사진 <154장:QNT>, 문서 <14건:QNT> 속 경주"
"주민들은 마을 이름을 '선학동'으로 바꾸는 것은 물론, 이청준의 소설 길을 조성해 봄에는 유채꽃의 화원, 가을이면 메밀꽃의 화원을 가꾸고 있다.","주민들은 마을 이름을 '선학동'으로 바꾸는 것은 물론, <이청준:PER>의 소설 길을 조성해 <봄:DAT>에는 유채꽃의 화원, <가을:DAT>이면 메밀꽃의 화원을 가꾸고 있다."
형질전환과 세포 배양을 일상적으로 행하는 실험실 연구자들에게 당시 논문을 검토해달라고 요청하고 논문에 대한 의견을 들어보았다.,형질전환과 세포 배양을 일상적으로 행하는 실험실 <연구자:CVL>들에게 당시 논문을 검토해달라고 요청하고 논문에 대한 의견을 들어보았다.
"노재영 군포시장은 ""경제회복에 대한 전망이 어두운 지금 공무원들의 일자리 나누기 동참이 어려운 이웃들에게 조금이라도 보탬이 됐으면 한다""며 ""강요에 의한 반납이 아닌 모두의 자발적인 뜻이 모인 이번 일을 시작으로 온 시민과 함께하는 '나눔 행정'을 펴나갈 계획""이라고 말했다.","<노재영:PER> <군포시장:CVL>은 ""경제회복에 대한 전망이 어두운 지금 <공무원:CVL>들의 일자리 나누기 동참이 어려운 이웃들에게 조금이라도 보탬이 됐으면 한다""며 ""강요에 의한 반납이 아닌 모두의 자발적인 뜻이 모인 이번 일을 시작으로 온 시민과 함께하는 '나눔 행정'을 펴나갈 계획""이라고 말했다."
통일국민당은 당시 서울 44개 전체 지역구 중 41곳에 후보를 냈고 2석을 얻었다.,<통일국민당:ORG>은 당시 서울 <44개:QNT> 전체 지역구 중 <41곳:QNT>에 후보를 냈고 <2석:QNT>을 얻었다.
"민주당은 이날 의원총회를 열어 ‘2018년 개헌 국민투표’로 방향을 잡고, 당 소속 대선주자들에게도 개헌에 대한 입장을 밝힐 것을 요구했다.","<민주당:ORG>은 <이날:DAT> 의원총회를 열어 ‘<2018년:DAT> 개헌 국민투표’로 방향을 잡고, 당 소속 대선주자들에게도 개헌에 대한 입장을 밝힐 것을 요구했다."
"최근 인터넷에서 막강한 영향력을 가진 일부 파워블로거들은 사업자등록도 하지 않고 특정 제품에 대해 업체들로부터 돈을 받고 홍보성 후기(後記)를 남기거나, 업체로부터 수수료를 받고 공동구매하는 방식으로 검증되지 않은 상품을 팔아 피해자들을 양산하고 있다.","최근 인터넷에서 막강한 영향력을 가진 일부 <파워블로거:CVL>들은 사업자등록도 하지 않고 특정 제품에 대해 업체들로부터 돈을 받고 홍보성 후기(後記)를 남기거나, 업체로부터 수수료를 받고 공동구매하는 방식으로 검증되지 않은 상품을 팔아 피해자들을 양산하고 있다."
오바마 행정부는 우선 정부 폐쇄 후유증을 최소화하는 데 주력하고 있다.,<오바마:PER> <행<정부:ORG>:ORG>는 우선 <정부:ORG> 폐쇄 후유증을 최소화하는 데 주력하고 있다.
비록 가정법의 형태지만 ‘군사적 대응’을 거론한 점이 눈에 띈다.,비록 가정법의 형태지만 ‘군사적 대응’을 거론한 점이 눈에 띈다.
양반은 극단적인 말을 되도록이면 하지 않으려고 한다.,<양반:CVL>은 극단적인 말을 되도록이면 하지 않으려고 한다.
유튜브 계정만 있으면 언제 어디서든지 콘텐츠를 올릴 수 있다.,유튜브 계정만 있으면 언제 어디서든지 콘텐츠를 올릴 수 있다.
지난해까지 챔피언결정전 3연패를 이끌며 선수 때와 마찬가지로 지도자로서 이미 입지를 단단히 굳힌 유재학 감독은 여유롭게 “나도 그러길 바란다”고 응수했다.,<지난해까지:DAT> 챔피언결정전 <3연패:QNT>를 이끌며 <선수:CVL> 때와 마찬가지로 지도자로서 이미 입지를 단단히 굳힌 <유재학:PER> <감독:CVL>은 여유롭게 “나도 그러길 바란다”고 응수했다.
게임 '클로저스'의 성우 김자연 씨의 교체 논란이 단적인 예다.,게임 '클로저스'의 <성우:CVL> <김자연:PER> 씨의 교체 논란이 단적인 예다.
그동안 제주지역 일부 어촌계가 특정 시기나 특정 일에 어장을 관광객에게 개방한 적은 있지만 연중 개방되는 곳은 없었다.,그동안 제주지역 일부 어촌계가 특정 시기나 특정 일에 어장을 관광객에게 개방한 적은 있지만 연중 개방되는 곳은 없었다.
-국회 양자정보통신포럼을 창립한 배경은.,-<국회:ORG> 양자정보통신포럼을 창립한 배경은.
한국과 한국 기업들과 파트너십을 체결하길 기대하고 있다.,한국과 한국 기업들과 파트너십을 체결하길 기대하고 있다.
지금까지 17권의 전자책을 냈다.,지금까지 <17권:QNT>의 전자책을 냈다.
"이번 대회에서 류은희, 조효비(이상 인천시체육회), 권한나(서울시청) 등 런던올림픽 국가대표들의 총알 같은 슛을 여러 차례 막아내며 설움을 달랬다.","이번 대회에서 <류은희:PER>, <조효비:PER>(이상 <인천시체육회:ORG>), <권한나:PER>(<서울시청:ORG>) 등 런던올림픽 국가대표들의 총알 같은 슛을 여러 차례 막아내며 설움을 달랬다."
[만물상] 이준 열사 기념관,[만물상] 이준 열사 기념관
카다피 묻힌 사하라 사막서 사라진 고대문명 베일 벗나,<카다피:PER> 묻힌 사하라 사막서 사라진 고대문명 베일 벗나
"야간 전방 시야 확보를 위해 일반형 전조등을 LED 듀얼 전조등으로 교체했고, LED 후미 점멸등을 부착, 야간 안전성도 크게 높였다.","야간 전방 시야 확보를 위해 일반형 전조등을 LED 듀얼 전조등으로 교체했고, LED 후미 점멸등을 부착, 야간 안전성도 크게 높였다."
▲ 그럼에도 이전과 달리 일하는 엄마로서 아이들과 떨어져 시간을 보냈다.,▲ 그럼에도 이전과 달리 일하는 <엄마:CVL>로서 <아이:CVL>들과 떨어져 시간을 보냈다.
나머지 13명 중 한국정신대문제대책협의회(정대협)가 운영하는 피해자 쉼터 ‘평화의 우리집’이나 ‘나눔의 집’에 거주하는 피해자 등 10명은 한일 합의를 원천 반대한다며 현금 수령을 거부하고 있다.,나머지 <13명:QNT> 중 <한국정신대문제대책협의회:ORG>(<정대협:ORG>)가 운영하는 피해자 쉼터 ‘평화의 우리집’이나 ‘나눔의 집’에 거주하는 피해자 등 <10명:QNT>은 한일 합의를 원천 반대한다며 현금 수령을 거부하고 있다.
경기당 평균 득점은 3위지만 개인 득점 10위권 내엔 한 명도 없다.,경기당 평균 득점은 <3위:QNT>지만 개인 득점 <10위권:QNT> 내엔 <한 명:QNT>도 없다.
그러면 연주하다가 ‘오늘은 노래가 좀 길다’는 느낌을 받는다.,그러면 연주하다가 ‘<오늘:DAT>은 노래가 좀 길다’는 느낌을 받는다.
"“구두변론, 상소 이유서 둘 다 중요하다.","“구두변론, 상소 이유서 <둘:QNT> 다 중요하다."
먼저 지난해 가을 오픈한 파로호 자전거 100리길의 완성이다.,먼저 <지난해 가을:DAT> 오픈한 파로호 자전거 <100리:QNT>길의 완성이다.
김현웅 법무부 차관은 업무보고 내용에 대한 브리핑에서 “헌법가치 수호와 국가 정체성 확립을 위해 각종 대책 마련에 나서겠다”며 “특히 공직자들이 헌법적 가치관을 가질 수 있도록 공무원을 대상으로 한 헌법 교육도 실시하겠다”고 말했다.,<김현웅:PER> <법무부:ORG> <차관:CVL>은 업무보고 내용에 대한 브리핑에서 “<헌법:CVL>가치 수호와 국가 정체성 확립을 위해 각종 대책 마련에 나서겠다”며 “특히 공직자들이 헌법적 가치관을 가질 수 있도록 <공무원:CVL>을 대상으로 한 <헌법:CVL> 교육도 실시하겠다”고 말했다.
고분자 콜라겐은 일반 단백질보다 분자가 커서 90%는 흡수되지 않고 배출된다고 알려져 있다.,고분자 콜라겐은 일반 단백질보다 분자가 커서 <90%:QNT>는 흡수되지 않고 배출된다고 알려져 있다.
"kt 2-4 NC, LG 4-9 넥센, 삼성 25-6 두산","<kt:ORG> <2-4:QNT> <NC:ORG>, <LG:ORG> <4-9:QNT> <넥센:ORG>, <삼성:ORG> <25-6:QNT> <두산:ORG>"
"불면증 치료제와 통증 완화제, 피부 미용과 체중 감량에 도움이 되는 상품 등이 빼곡히 진열된 매장 한편에 'CBD'라는 생소한 이름의 코너가 따로 마련돼 있었다.","불면증 치료제와 통증 완화제, 피부 미용과 체중 감량에 도움이 되는 상품 등이 빼곡히 진열된 매장 한편에 'CBD'라는 생소한 이름의 코너가 따로 마련돼 있었다."
지난 30~40년은 양국 역사에서 거의 유일하게 한국이 중국보다 잘살던 시기다.,<지난 30~40년:DAT>은 양국 역사에서 거의 유일하게 한국이 중국보다 잘살던 시기다.
대법원 중심의 사법부 독립성이 강조되면서 법원행정처 등에 의한 사법부 내부의 법관 인사가 당연하게 여겨져왔다.,<대법원:ORG> 중심의 <<사법부:ORG>:ORG> 독립성이 강조되면서 <법원행정처:ORG> 등에 의한 <<사법부:ORG>:ORG> 내부의 <법관:CVL> 인사가 당연하게 여겨져왔다.
1945년 11월 해양입국을 기치로 설립된 한국해양대는 항해사 기관사 해기사 등 해양 산업 인재들을 키우는 국립종합대.,<1945년 11월:DAT> 해양입국을 기치로 설립된 <한국해양대:ORG>는 <항해사:CVL> <기관사:CVL> <해기사:CVL> 등 해양 산업 인재들을 키우는 국립종합대.
애플이 정확한 가격을 공개하지 않았지만 업계는 월 9.99달러 이상이 될 것으로 보고 있다.,<애플:ORG>이 정확한 가격을 공개하지 않았지만 업계는 월 <9.99달러 이상:QNT>이 될 것으로 보고 있다.
수술에 꼭 필요한 치료재료인 ‘인공혈관’이 바닥났기 때문이다.,수술에 꼭 필요한 치료재료인 ‘인공혈관’이 바닥났기 때문이다.
지난 5월 임명된 피우진 보훈처장이 지난달 특별 검사를 벌여 적발한 내용이다.,<지난 5월:DAT> 임명된 <피우진:PER> <보훈처장:CVL>이 <지난달:DAT> 특별 검사를 벌여 적발한 내용이다.
또 다른 현안 중 하나인 <한국방송>(KBS) 파업과 관련해서는 공식적으로 “청와대는 어떤 형태의 물밑접촉이나 간섭도 하지 않는다”는 내부 방침을 세웠다고 이야기하고 있다.,또 다른 현안 중 <하나:QNT>인 <<<한국방송:ORG>>(<KBS:ORG>) 파업과 관련해서는 공식적으로 “<청와대:ORG>는 어떤 형태의 물밑접촉이나 간섭도 하지 않는다”는 내부 방침을 세웠다고 이야기하고 있다.
하지만 비박(비박근혜)계가 보는 시각은 다르다.,하지만 비박(비<박근혜:PER>)계가 보는 시각은 다르다.
“경무대 앞에서 함께 시위한 수학과 친구가 총에 맞아 죽었죠.” 그는 4·19의 의미를 이렇게 설명했다.,“경무대 앞에서 함께 시위한 수학과 친구가 총에 맞아 죽었죠.” 그는 4·19의 의미를 이렇게 설명했다.
대통령 후보 시절엔 이명박 정부의 실패한 대북정책과 차별화를 꾀하며 “대북정책도 진화해야 한다.,<대통령:CVL> 후보 시절엔 <이명박:PER> <정부:ORG>의 실패한 대북정책과 차별화를 꾀하며 “대북정책도 진화해야 한다.
퇴근 후엔 온라인동영상 서비스 ‘넷플릭스’(월정액 9500원)에서 추천해주는 영화나 드라마를 본다.,퇴근 후엔 온라인동영상 서비스 ‘넷플릭스’(월정액 <9500원:QNT>)에서 추천해주는 영화나 드라마를 본다.
텔레그램은 ID 하나로 여러 디바이스에 제약 없이 로그인할 수 있다.,텔레그램은 ID <하나:QNT>로 여러 디바이스에 제약 없이 로그인할 수 있다.
당시 다쳐서 병원을 찾는 이들 90%가 공고에서 나온 실습생이나 스무 살 남짓의 어린 친구들이었다.,당시 다쳐서 병원을 찾는 이들 <90%:QNT>가 공고에서 나온 실습생이나 <스무 살:QNT> 남짓의 어린 친구들이었다.
"그림을 그리거나, 메모를 하거나, 혹은 지도 중요 경로에 표기하는 것 등이 손쉬워져 스마트폰 사용이 어려운 이들에게 이름처럼 ‘노트’를 활용하는 방법을 알려줬다.","그림을 그리거나, 메모를 하거나, 혹은 지도 중요 경로에 표기하는 것 등이 손쉬워져 스마트폰 사용이 어려운 이들에게 이름처럼 ‘노트’를 활용하는 방법을 알려줬다."
"야당이 감사원 감사 결과를 믿는다면, 그건 천안함 침몰의 진실, 즉 '북한의 어뢰공격'이라는 걸 받아들인다는 뜻이다.","야당이 <감사원:ORG> 감사 결과를 믿는다면, 그건 천안함 침몰의 진실, 즉 '북한의 어뢰공격'이라는 걸 받아들인다는 뜻이다."
지난해까지만 해도 그는 북한 대표팀의 평범한 선수에 지나지 않았다.,<지난해까지만:DAT> 해도 그는 북한 대표팀의 평범한 <선수:CVL>에 지나지 않았다.
2008년 코트를 떠나 배구장을 전전하며 경기위원으로 활동했지만 그의 몸속에 불타고 있는 코트에 대한 열정은 어찌할 수 없었다.,<2008년:DAT> 코트를 떠나 배구장을 전전하며 <경기위원:CVL>으로 활동했지만 그의 몸속에 불타고 있는 코트에 대한 열정은 어찌할 수 없었다.
"작품 속 미세한 균열과 갈등, 서슬 퍼런 결말도 모두 이 배우의 미간과 입술 끝과 눈동자에서 이뤄진다.","작품 속 미세한 균열과 갈등, 서슬 퍼런 결말도 모두 이 <배우:CVL>의 미간과 입술 끝과 눈동자에서 이뤄진다."
"""北이 NLL남쪽 해역에 미사일 쏘면, 피해 없어도 상응 조치""","""北이 NLL남쪽 해역에 미사일 쏘면, 피해 없어도 상응 조치"""
"그는 지금까지 탱고의 효과에 대한 논문들을 분석해 '탱고가 파킨슨병, 뇌졸중, 외상성 뇌 손상 등의 뇌신경 질환 개선에 효과적'이라는 리뷰 결과를 최근 국제 저널에 실었다.","그는 지금까지 <탱고:CVL>의 효과에 대한 논문들을 분석해 '<탱고:CVL>가 파킨슨병, 뇌졸중, 외상성 뇌 손상 등의 뇌신경 질환 개선에 효과적'이라는 리뷰 결과를 최근 국제 저널에 실었다."
"일본전 선발로는 두 번째 한일전 승리로 ‘일본 킬러’로 떠오른 봉중근(LG), 이날 중간에 등판해 구위를 점검한 김광현(SK), 윤석민(KIA) 등이 예상된다.","<일본:ORG>전 선발로는 <두 번째:QNT> 한일전 승리로 ‘<일본:ORG> 킬러’로 떠오른 <봉중근:PER>(<LG:ORG>), <이날:DAT> 중간에 등판해 구위를 점검한 <김광현:PER>(<SK:ORG>), <윤석민:PER>(<KIA:ORG>) 등이 예상된다."
여동생 엘미라 사피우리나 씨(32)도 그의 권유로 2005년 한국에 와 3월 한국인과 결혼했다.,<여동생:CVL> <엘미라 사피우리나:PER> 씨(<32:QNT>)도 그의 권유로 <2005년:DAT> 한국에 와 <3월:DAT> <한국인:CVL>과 결혼했다.
이날 국토부는 공기업인 LH가 싼 주택 공급에 앞장서달라고 주문했다.,<이날:DAT> <국토부:ORG>는 공기업인 <LH:ORG>가 싼 주택 공급에 앞장서달라고 주문했다.
가계부채는 한국 경제의 가장 큰 위험 요인이다.,가계부채는 한국 경제의 가장 큰 위험 요인이다.
이미 서 씨는 나중에 태어날 아이의 돌 케이크를 자신이 직접 만들어 준다는 계획도 세워 놨다.,이미 <서:PER> 씨는 나중에 태어날 아이의 <돌:DAT> <케이크:CVL>를 자신이 직접 만들어 준다는 계획도 세워 놨다.
"본 취재진은 미국 텍사스주 오스틴에 소재한 템플 판다 발전소, 헤이즈 발전소, 과달루페 발전소를 방문해, 무방류 시스템의 운영상황, 사회적ㆍ환경적 영향 등을 확인할 수 있었다.","본 취재진은 미국 텍사스주 오스틴에 소재한 템플 판다 발전소, 헤이즈 발전소, 과달루페 발전소를 방문해, 무방류 시스템의 운영상황, 사회적ㆍ환경적 영향 등을 확인할 수 있었다."
"세월호 협상 실패로 박영선 전 원내대표가 물러난 이후 당 지지율은 10%대로 추락했고, 당내 강경파들의 목소리는 여전히 드높았다.","세월호 협상 실패로 <박영선:PER> 전 <원내대표:CVL>가 물러난 이후 당 지지율은 <10%대:QNT>로 추락했고, 당내 강경파들의 목소리는 여전히 드높았다."
하지만 의상을 벗고 맨몸이 나오면 그건 또 분장의 몫이죠.,하지만 의상을 벗고 맨몸이 나오면 그건 또 분장의 몫이죠.
"조남예 할매는 쪽파김치를, 주미자 할매는 식혜를, 박영자 할매는 도토리묵을 직접 들고 스튜디오에 나타났다.","<조남예:PER> 할매는 <쪽파김치:CVL>를, <주미자:PER> 할매는 <식혜:CVL>를, <박영자:PER> 할매는 <도토리묵:CVL>을 직접 들고 스튜디오에 나타났다."
"신세계백화점 이종묵 신선식품팀장은 ""무더운 날씨가 계속되면서 예년에 비해 2주일 정도 빠르게 보양식 매출이 상승세를 보이고 있다""며 ""불황기에 저렴한 비용으로 건강을 챙기려는 소비 심리가 작용한 것도 한 요인""이라고 말했다.","<신세계백화점:ORG> <이종묵:PER> <신선식품팀장:CVL>은 ""무더운 날씨가 계속되면서 <예년:DAT>에 비해 <2주일 정도:DAT> 빠르게 <보양식:CVL> 매출이 상승세를 보이고 있다""며 ""불황기에 저렴한 비용으로 건강을 챙기려는 소비 심리가 작용한 것도 한 요인""이라고 말했다."
장병들의 열광 속에 앙코르곡을 열창한 혜성밴드 보컬 박민수(20) 일병이 부리나케 화장실로 뛰어갔다.,<장병:CVL>들의 열광 속에 앙코르곡을 열창한 <혜성밴드:PER> 보컬 <박민수:PER>(<20:QNT>) <일병:CVL>이 부리나케 화장실로 뛰어갔다.
동양의 할리우드인 ‘찰리우드’라는 별칭도 얻었다.,동양의 할리우드인 ‘찰리우드’라는 별칭도 얻었다.
◇중국·베트남 방식 모두 성공 가능,◇중국·베트남 방식 모두 성공 가능
옹방강과 추사가 1810년 주고받은 필담서는 그들이 맺은 묵연(墨緣)의 첫 장을 확인하는 자료다.,<옹방강:PER>과 <추사:PER>가 <1810년:DAT> 주고받은 필담서는 그들이 맺은 묵연(墨緣)의 첫 장을 확인하는 자료다.
국내 최초로 구축된 응급헬기 지원 무선 네트워크는 현재 LTE 기반이지만 향후 5G로 진화할 경우 기대효과는 더욱 커질 것으로 예상된다.,국내 최초로 구축된 응급헬기 지원 무선 네트워크는 현재 LTE 기반이지만 향후 5G로 진화할 경우 기대효과는 더욱 커질 것으로 예상된다.
부부관계를 하나의 소통으로 보는 이유가 여기에 있다.,<부부:CVL>관계를 하나의 소통으로 보는 이유가 여기에 있다.
"일례로 수자원 분포에서 세계 물 자원의 30%를 차지하는 남아메리카 지역은 풍선처럼 크게 부푼 모습이지만, 바닷물을 담수화하여 사용하는 쿠웨이트는 이 지도에서는 그 모습을 전혀 찾아볼 수 없다.","일례로 수자원 분포에서 세계 물 자원의 <30%:QNT>를 차지하는 남아메리카 지역은 풍선처럼 크게 부푼 모습이지만, 바닷물을 담수화하여 사용하는 쿠웨이트는 이 지도에서는 그 모습을 전혀 찾아볼 수 없다."
"르노삼성 '트위지' 1200대 완판, 중소업체도 시장 공략 나서 3시간 충전으로 50㎞ 이상 주행","<르노삼성:ORG> '트위지' <1200대:QNT> 완판, 중소업체도 시장 공략 나서 3시간 충전으로 <50㎞ 이상:QNT> 주행"
2014년 인천 아시아경기에서 승마 마장마술 단체전에 최순실 씨(61)의 딸 정유라 씨(21)와 함께 출전해 금메달을 땄다.,<2014년:DAT> 인천 아시아경기에서 <승마:CVL> 마장마술 단체전에 <최순실:PER> 씨(<61:QNT>)의 <딸:CVL> <정유라:PER> 씨(<21:QNT>)와 함께 출전해 <금메달:CVL>을 땄다.
또 연구진은 ‘LSD1’이라는 효소가 히프원 단백질과 결합하면 메틸화를 억제해 암 발생 및 전이를 촉진한다는 사실도 확인했다.,또 연구진은 ‘LSD1’이라는 효소가 히프원 단백질과 결합하면 메틸화를 억제해 암 발생 및 전이를 촉진한다는 사실도 확인했다.
"한편, 노다 총리는 재임기에 추진된 위안부 문제 해결을 위한 한국 정부와 교섭 비화도 소개했다.","한편, <노다:PER> <총리:CVL>는 재임기에 추진된 위안부 문제 해결을 위한 한국 <정부:ORG>와 교섭 비화도 소개했다."
"기흥역세권지구 내 가장 큰 규모로 아파트(전용 84m²) 6개 동 1316채, 오피스텔(전용 59∼84m²) 1개 동 182실로 구성된다.","기흥역세권지구 내 가장 큰 규모로 아파트(전용 <84m²:QNT>) <6개:QNT> 동 <1316채:QNT>, 오피스텔(전용 59∼<84m²:QNT>) <1개:QNT> 동 <182실:QNT>로 구성된다."
대한항공은 단지에 입주하는 기업들에 기술 및 자금을 지원할 계획이다.,<대한항공:ORG>은 단지에 입주하는 기업들에 기술 및 자금을 지원할 계획이다.
"5일엔 세계 랭킹 2위 제이슨 데이(호주), 미국팀의 인기 스타 리키 파울러 등이 입국할 예정이다.","<5일:DAT>엔 세계 랭킹 <2위:QNT> <제이슨 데이:PER>(호주), <미국팀:ORG>의 인기 스타 <리키 파울러:PER> 등이 입국할 예정이다."
‘급변하는 국제정세 등 외부위기→확고한 국가관 확립 필요→역사교육 정상화→대한민국 미래와 통일에 대비’라는 논리 흐름이다.,‘급변하는 국제정세 등 외부위기→확고한 국가관 확립 필요→역사교육 정상화→대한민국 미래와 통일에 대비’라는 논리 흐름이다.
